,0
1717,development-1765Isabelle Grossman -LRB- Amy Irving -RRB-
1718,development-1766Marcia Cross
1719,development-1767Joan Poynings
1720,development-1768Chelsea Green
1721,development-1769She
1722,development-1770Ann Schongalla
1723,development-1771Maria Franklin
1724,development-1772Beatrice d'Este
1725,development-1773Sarah 's
1726,development-1775She
1727,development-1776Jane
1728,development-1777Alice 's mother
1729,development-1778Anne
1730,development-1779J.R.
1731,development-1780Jeanine Basinger -LRB- born 3 February 1936 -RRB-
1732,development-1781Vangsness
1733,development-1782Terri Windling
1734,development-1783Mohs
1735,development-1784Anita Ekberg
1736,development-1785Harriet Housel
1737,"development-1786mother of Erik , Sjoerd , and Peter Vollebregt , all candidates for the 1976 Olympic sailing event"
1738,development-1787Ms Gurney
1739,development-1788Madhu
1740,development-1789his first wife
1741,development-1790You
1742,development-1791Edith Somerville
1743,development-1792Ellen Key
1744,development-1793Snow White
1745,development-1794Queen
1746,development-1795She
1747,development-1796Maripol
1748,development-1797Madonna
1749,"development-1799Her co-star from Sunday in the Park with George , Mandy Patinkin"
1750,development-1800Lydia
1751,development-1801Sieppe
1752,development-1802Shana during the period of time
1753,development-1803her
1754,development-1804Jane Seymour
1755,development-1805Tracey Gold
1756,development-1806Zofia 's
1757,development-1807Golovin
1758,development-1808Linda Atkinson
1759,development-1809Nicole Thorne
1760,development-1810supermodel Kate Moss
1761,development-1811Carol 's mother Betty Trussell
1762,development-1812Althea
1763,development-1813Caroline
1764,development-1814you
1765,development-1815Vivienne
1766,development-1816Kay Thompson
1767,development-1817Louise
1768,development-1818Bessie Smith
1769,development-1819Madonna
1770,development-1820Michelle Branch -LRB- center -RRB- during a June 2007 concert with Jessica Harp -LRB- right -RRB- as The Wreckers .
1771,development-1821Anne Gascoigne
1772,development-1823Marge
1773,development-1824`` Woman of Labrador ; The Elizabeth Goudie Story ''
1774,development-1825Bonnie
1775,development-1826Jill Bennett
1776,development-1827Diana
1777,development-1828Irene
1778,development-1829she
1779,development-1830Mathilde
1780,development-1831Madge Bellamy
1781,development-1832Ahn
1782,development-1833Her
1783,development-1834Louisa Ulrika in 1782
1784,development-1835slowed-down
1785,"development-1836Sanya Lopez -LRB- born August 9 , 1996 at Nagcarlan , Laguna , Philippines -RRB-"
1786,development-1837Drew Barrymore
1787,development-1838Susan Boyle as a joke
1788,development-1839Speier
1789,development-1840Livsey
1790,development-1841She
1791,development-1842Tanasugarn
1792,development-1843Lady Paget before her marriage
1793,development-1844Helena
1794,development-1845Emilia Pia
1795,development-1846Julia with an offer
1796,development-1847Delysia
1797,development-1848she
1798,"development-1849Kerri Kenney in Westport , Connecticut , the daughter of Sharon -LRB- McGaughey -RRB- and Larry Kenney , an actor who is known for his classic voice-over work"
1799,development-1850She
1800,"development-1851Her sister , Charmaine"
1801,development-1852a teacher
1802,development-1853her family
1803,development-1854Audrey
1804,development-1855Margaret Singer
1805,development-1856his wife
1806,development-1857his wife
1807,development-1858Aimee Mann
1808,development-1859Rita
1809,development-1860Helen Reddy
1810,development-1861Julie
1811,development-1862Geena Davis in the TV show Sara
1812,"development-1863Hester Baldwin on June 24 , 1779"
1813,development-1864Melina
1814,development-1865Harriet Candace `` Rose
1815,development-1866Ursula Andress
1816,development-1867Writer Kate Lock
1817,development-1868Carmen 's
1818,development-1869Pauline
1819,development-1870Madeline Albright
1820,development-1871Angela McLean
1821,development-1872Jemima Shore
1822,development-1873Lindy Robbins
1823,development-1874Stacey
1824,development-1875Gillard
1825,development-1876Carol Fox
1826,development-1877Claudia Card
1827,"development-1878eventual runner-up Conchita Mart * nez , 7 -- 6 -LRB- 5 -RRB- , 6 -- 1"
1828,development-1879Amy Lewis
1829,development-1880Frida Leider
1830,development-1881Sonja Henie
1831,development-1882Helga
1832,development-1883Eugen -LRB- 1873 -RRB-
1833,"development-1884Lily Elise -LRB- born February 20 , 1991 -RRB-"
1834,development-1885Vanitha
1835,development-1886Osterman combined with Anjelica Selden of the UCLA Bruins to strike out 31 batters in an 8-inning
1836,development-1887Katherine Cross of Gamasutra
1837,development-1888Janet
1838,development-1889a fellow college student
1839,development-1890Franklin
1840,development-1891Mauceri
1841,"development-1892Audrey Marlene Brown in Dutton , Ontario , the daughter of Margaret Clark and William Brown , of Scottish and English descent"
1842,development-1893Carol Lasser
1843,development-1894Susannah Clapp of The Guardian
1844,development-1895Jane `` Jennie
1845,development-1896ne dansante
1846,development-1897Russian coach Ludmila Velikova
1847,development-1899Delphine LaLaurie -LRB- Kathy Bates -RRB-
1848,development-1900Germany 's Gabriella Brum
1849,development-1902her mother
1850,development-1903Holly Hathorn
1851,development-1905Vani
1852,development-1906Vani
1853,development-1908Rainer Maria Rilke
1854,development-1909Sarah Glasscock included her parents
1855,development-1910Tancy 's
1856,development-1911Wozniacki
1857,development-1912Karen Clark-Sheard
1858,development-1914the spinster teacher Katherine Brooke
1859,development-1915Nichole Hiltz
1860,development-1916Susan Vandom
1861,development-1917Lucy
1862,development-1918Anne
1863,development-1919her
1864,development-1920Cheryl
1865,development-1921Danni
1866,development-1922Nellie Poulett-Harris
1867,development-1923These victims
1868,development-1924Emily
1869,development-1925Her
1870,"development-1926Heather , who is staying with Minty"
1871,development-1927Ms. Gordon
1872,"development-1928Gleitman -LRB- 1990 -RRB- counters Pinker 's ideas by asserting that context is insufficient to supply word meaning , as a single context can allow for multiple interpretations of an uttered sentence ."
1873,"development-1929Nikki Tranter of PopMatters , the song `` details exactly what"
1874,development-1930ITV1 's
1875,development-1931Mary of York -LRB- 11 August 1467 -- 23 May 1482 -RRB-
1876,development-1932his future wife
1877,development-1933Her
1878,development-1934Mary Magdalene
1879,development-1935Nellie
1880,development-1936Hasidic
1881,development-1937history Phyllis Thede
1882,development-1938Princess Amentia
1883,development-1939Justine Henin 's
1884,development-1940Aisha Potty
1885,development-194117th
1886,development-194217th
1887,development-1943Anjali Menon
1888,development-1944Claire
1889,development-1945Ellen 's sister Julia Anne
1890,development-1946their friend
1891,development-1947Emily Birrell
1892,development-1948Charlene
1893,development-1949Arina Charopa
1894,development-1950Staniouta
1895,development-1951p. 10
1896,development-1952Lily Allen
1897,development-1953Here
1898,development-1954Joanne
1899,development-1955his family
1900,development-1956her twin sister
1901,development-1957Parton-penned
1902,development-1958Erin
1903,development-1960Fey 's
1904,"development-1961Mrs , Waller"
1905,development-1962Peggy
1906,development-1963Stacey
1907,"development-1964Chelsea Hobbs -LRB- born Chelsea Raelle Hobbs ; February 18 , 1985 -RRB-"
1908,development-1965Karen Rolton
1909,development-1966A petrified Miss Trunchbull
1910,development-1967Matilda
1911,development-1968Caroline Garcia
1912,development-1969Maria
1913,development-1970the character of the Doctor in the Eighth Doctor Adventures
1914,development-1971Natasha
1915,development-1972Sarah-Jane Crawford
1916,development-1973Joanna Heffernan
1917,development-1974Brooke 's
1918,"development-1975her older sister Sofia Vasa , who was described as the most unhappy of the children of Gustav Vasa"
1919,"development-1976Madeline Hatter -LRB- voiced by Cindy Robinson -RRB- -- The daughter of the Mad Hatter from Alice 's Adventures in Wonderland , Maddie is Raven 's best friend ."
1920,development-1977Amy
1921,development-1978Jacky
1922,development-1979Lorelei Lee
1923,development-1980Haiduk
1924,development-1982Angela 's sister
1925,development-1983Mrs Edith Weston
1926,development-1984Lady Elizabeth
1927,development-1985Biddall 's former Hollyoaks cast-mate Zoe Lister -LRB- Zoe Carpenter -RRB-
1928,development-1986Her
1929,development-1987Hannah
1930,development-1989Lily 's
1931,development-1990Thea Musgrave
1932,development-1991Marianne
1933,development-1992Lucy
1934,development-1993Jenny
1935,development-1994Bashkirtseff
1936,development-1995Linda Eder
1937,development-1996a concerned Nicole
1938,development-1997the oldest of two daughters
1939,development-1998Maria
1940,development-1999Suzanne Bartsch
1941,development-2000Elizabeth
